token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44
273,function,-1.2364857,0.041671213,0.7135613,0.0822929,-0.094774604,-0.27019385,0.39861095,-0.23761617,-0.25751123,-0.041223478,0.17969929,1.1213993,1.197353,0.1161301,-0.0025314665,-0.16618593,0.061859787,-0.38141987,-0.32338634,0.9166429,-0.08607357,0.8514662,-0.16618012,-0.1921033,0.036870573,0.035990708,-0.51972526,-0.15338819,0.22734694,-0.026537327,-1.2465574,-1.0274408,-0.035064507,0.6228756,-1.0105517,0.5808588,0.8408492,-0.27906936,-0.16492903,-0.74241626,-0.541604,-0.2784114,0.5782195,0.07417442,-0.16646776
274,content,-1.4148693,0.9100828,-0.031150347,-0.2021224,-0.043245118,-0.27013788,0.0775341,-0.1873514,-0.3490667,0.44299117,0.15566592,0.9706165,-1.3237022,0.26640043,0.27236557,-0.19876608,0.27651212,-0.21675536,-0.18109162,0.18187073,0.14641888,-0.39993978,-0.61219865,-0.46589035,0.03761163,0.013086834,-0.83892554,-0.24550955,0.80471647,0.20871264,0.5289971,0.25079784,-0.08266489,-0.26266396,0.08600658,-0.115727484,-0.6773184,-0.4217845,-0.54926586,-0.40217668,-0.7707119,0.52310866,1.9455662,0.16665943,-0.49425644
275,content,-1.1720341,0.015928049,0.9208593,-0.877677,0.1807032,-0.26769015,0.6057039,-0.3385749,0.05442043,0.194909,0.18373652,0.035410203,0.20525846,0.65272963,-0.016858054,-0.25020024,0.17216843,0.11426593,0.29691097,-0.23827694,0.04892829,0.40854892,1.805584,0.39737937,-0.5269256,0.04090837,-1.3727868,0.32221496,0.32143158,0.1670757,-0.76985234,-0.32287335,-1.1087127,0.20372207,1.1728063,-0.9337242,0.57203394,-0.55481446,-0.52845937,-0.013560862,-1.0140117,-0.52391833,0.44974014,-0.23695074,0.28952307
276,content,0.1190435,-0.43466052,-0.15778613,0.18728444,-0.25166684,0.034247357,-0.060223877,0.021549612,-0.01785687,-0.28459337,0.042089086,0.023173418,0.034023967,0.014115999,0.088188045,0.52481675,0.16146696,-0.08881682,-0.07531051,-0.09828361,-0.052161627,-0.23410004,0.06871695,-0.06932187,-0.6957495,-0.0403396,0.17460106,-0.5796646,-0.18038,-0.051534306,-0.120527245,-0.14346446,-0.026572576,0.33070925,-0.09890196,-0.46362525,-0.08240031,-0.07834971,-0.5426631,-0.179193,-0.05806654,0.61249757,-0.062666096,0.4419134,-0.50780785
277,content,-1.0757117,-0.05779743,0.80094415,-1.4515115,-0.2661328,-0.23708452,0.39283666,0.036673658,0.046167642,0.01372214,0.17312473,0.11323014,0.41851765,0.15089066,-0.08608041,-0.26956418,0.1752328,0.017941233,0.396492,1.2138203,0.25490123,0.58703953,0.68165755,0.031857453,-1.1634444,0.023071937,-1.2525377,0.7414066,0.28397927,-0.053039707,-0.072159804,-1.5723664,0.13146909,-0.09112075,-0.40164685,-0.8995174,0.94247484,-0.28952074,-0.065744475,0.114940904,-0.7231104,-0.92516017,0.66782093,0.11784277,0.45198548
278,content,0.1063393,-0.38671422,-0.033335403,0.20618577,0.45985603,-0.22585772,-0.076332375,-0.09991897,-0.007970198,0.27629855,-0.2799155,-0.0008629327,0.02357071,0.17100959,0.60327107,-0.0840097,0.09435849,0.05626316,0.06626057,-0.023026543,-0.008472201,-0.26185665,-0.22690316,0.05534876,-0.29606172,0.028592506,-0.5250408,-0.23930246,0.03778241,-0.073545955,0.13535368,0.021046331,0.06276424,0.2063568,0.010141646,-0.24438073,0.061059378,0.09060101,-0.06744508,0.037655097,0.09016276,0.10877291,0.05485943,0.6145424,-0.024303146
279,content,-1.1458634,0.16036004,1.382646,-0.66066957,0.19387044,-0.39415932,0.84049654,0.019792762,0.055220686,-0.3387119,0.19204295,0.38229972,0.29383814,-1.1057272,0.34681454,-0.25653857,0.1809258,0.14742588,0.4441445,0.23433529,-0.23279335,0.35615537,0.42336723,-0.5685569,0.33038342,0.044002097,-1.7298745,0.63020027,0.0124731045,0.34066433,0.09372921,-0.13532324,-0.53667796,-0.3766259,0.049821623,-1.2505388,0.07255118,1.1499488,0.51867807,0.2786319,-1.3037165,-0.7767947,0.764283,0.06630201,0.020904418
280,content,-1.3302639,0.6224052,0.7392145,-0.30380705,0.48371163,-0.30964744,0.28963697,-0.4473965,0.019980518,0.12857291,0.1739862,0.30704907,-0.2795023,0.075299315,-0.26023594,-0.26451534,0.16278228,0.3150665,-0.8484795,0.046397068,-0.119186096,0.5632756,-0.6459698,0.34285834,0.798299,0.026135286,-1.4283271,0.056156274,0.6032607,-0.020873735,0.33037692,-1.135676,0.71898216,0.28974044,-1.0056802,0.5439321,1.6567408,-1.0195178,-0.1574947,-0.31916857,-0.111201145,-0.0023195178,-1.0452044,-0.1028663,0.04471789
281,function,0.13664047,-0.3972321,-0.012983639,-0.8334049,-0.25116518,-0.007324875,-0.03444404,0.031003373,-0.06842617,0.4942827,0.045995772,0.004021755,0.0027836114,-0.35317913,0.48402822,0.55319417,0.10809942,-0.105812185,-0.11769022,-0.080981895,-0.039982896,-0.23780718,-0.2732238,-0.074716255,-0.47012883,-0.032555297,0.5905933,-0.13497388,-0.63008505,-0.12556459,-0.18811642,-0.11832244,-0.041108575,0.3793959,-0.027084708,-0.10165864,-0.06765399,-0.07696473,-0.08448066,-0.08956421,-0.05603676,0.17599456,-0.056331165,-0.08812581,-0.3941907
282,content,-1.3837012,0.8617892,0.6812815,-0.007863997,-0.77122307,-0.21003954,0.21514894,-0.37634942,0.23093148,0.19219454,0.16629809,1.281895,-0.7863326,-0.05177532,0.2795086,-0.13261142,0.27819842,-0.041656952,0.16126958,0.15674022,-0.09067087,0.26742426,0.12977001,-0.7843808,0.22382554,0.013447624,-0.20964731,-0.38116047,0.27570504,0.1253271,-0.5853129,0.90292746,-0.29134384,-0.77402896,-0.8418697,-0.016325708,-0.07060117,-0.075513445,-0.34631968,-0.90547216,-0.6830586,0.08612812,0.85050076,0.11183834,0.17796847
