token_id,category,phi_0,phi_1,phi_2
41,letter,0.011903349,-0.0019838468,-0.0036754597
42,letter,0.016435465,0.0036806471,0.00088939915
43,letter,0.012432813,0.0004753813,0.0037451952
44,letter,0.018419534,0.009653912,0.008514555
45,letter,0.017053362,0.0038065377,0.007605198
46,letter,0.010728321,0.00473347,0.00374668
47,letter,0.015085742,0.0062854765,0.0009907488
48,letter,0.019404106,0.0007320959,0.0036019317
49,letter,0.021598896,0.009923102,-0.0015457366
50,letter,0.014094745,0.006128623,0.0012498973
51,letter,0.01734874,0.011360523,-0.0022885785
52,letter,0.009319398,-0.0005690143,-0.0028070007
53,letter,0.012134092,0.007828978,-0.003913885
54,letter,0.012522856,-0.0017500275,4.5191224e-05
55,letter,0.014733563,-0.004543686,0.005732101
56,letter,0.013490817,0.0025503375,-0.0014114929
57,letter,0.009764889,-0.002916946,-0.0036025317
58,punct,-0.03116919,0.01465494,0.013553117
59,punct,-0.018826185,-0.014038929,-0.0144121945
60,punct,0.006257075,0.012505277,-0.04412469
61,punct,-0.013851367,-0.015261107,0.014331427
62,punct,0.013878511,-0.037314072,-0.016940085
63,punct,0.005230649,-0.0032990035,0.0035062018
64,letter,0.020940058,0.000273864,0.000589814
65,letter,0.009930178,0.008196905,0.0038499436
66,letter,0.01649628,0.003701158,0.0008428924
67,letter,0.017796602,0.010746391,0.0035021135
68,letter,0.013177614,0.004573522,0.0011419961
69,letter,0.01264702,0.0061361482,0.00041653958
70,letter,0.021425214,-0.0047705825,0.024886163
71,letter,0.010916244,0.0076919794,0.00012454529
72,letter,0.012235839,0.010107201,-0.0028685413
73,letter,0.015409861,0.007689019,0.001240988
74,letter,0.01423755,0.007339242,-0.0006612443
75,letter,0.015839726,0.0027324273,-0.0030277018
76,letter,0.016318806,0.010721777,0.003021327
77,letter,-0.0044634994,0.013418627,-0.0033699393
78,letter,0.019630555,0.0029438373,0.0006020638
79,letter,0.013316675,0.008829989,0.0005806349
80,letter,0.012484436,0.0057843397,0.004776703
81,letter,-0.0011489828,0.016668536,-0.0032229603
82,letter,0.010367709,0.013080218,-0.0023043505
83,letter,0.021842113,-0.004361307,0.018967055
84,letter,0.020877896,0.013283835,0.023589829
85,letter,0.012606784,0.0018106751,-0.0033546973
86,letter,0.014869488,0.003362192,-0.0074125854
87,letter,0.009941275,0.005498065,0.0008933871
88,letter,0.017644662,0.012546332,0.004942964
89,letter,0.008406072,0.0027816326,-7.790747e-05
90,punct,-0.025526347,-0.02440987,-0.018842233
91,punct,0.005553991,0.02052436,-0.015047502
92,punct,-0.016053587,-0.031344738,0.00813569
93,punct,0.0022028915,-0.0020668372,0.020807138
94,punct,0.02359584,-0.0005311499,-0.002335656
95,punct,0.003074115,0.012896952,0.0010587468
96,punct,0.0111400485,-0.00634512,0.0047921515
97,punct,0.020217976,0.004004501,0.0052387873
98,punct,0.011019515,0.0065512443,0.0057519423
99,punct,0.0072094067,-0.007318038,-0.0042298785
100,punct,0.0038973847,-0.008345653,0.00038480063
101,punct,0.013926646,-0.0025348775,0.0062434636
