token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49
20,digit,0.25961983,0.18304022,-0.035291936,0.027575089,-0.16506712,-0.0684846,-0.5291655,-0.17778379,-0.5246214,-0.24534309,-0.032164663,-0.14064506,0.28140566,0.08977761,-0.4639671,-0.13012764,0.3155481,0.58291245,0.13152725,0.11612852,0.3794706,-0.22291616,-0.1563088,0.18998122,0.047278725,-0.15485784,-0.04822822,0.06582583,-0.64446837,-0.5111025,-0.34040174,0.05085531,-0.20523149,-0.12748303,0.1213155,0.3095213,1.055957,0.17364241,-0.5861576,0.24195294,-0.15358475,-0.15170366,0.44887036,0.45532295,-0.042213105,-0.12392983,-0.077382706,0.3238311,0.0033191284,0.22691338
21,digit,0.18530847,-0.002927778,-0.048957385,0.15310614,-0.20517778,-0.010036352,-0.17002498,-0.36442077,-0.45664716,-0.14874852,-0.20816801,-0.065821,0.19746485,0.03977603,-0.29829857,-0.43203306,0.20546223,0.39094317,0.38569865,0.08726868,0.26009363,-0.3735108,-0.11848691,-0.14891033,0.20163763,-0.27803546,0.12371314,0.010174348,-0.3594973,-0.3353964,-0.05178143,-0.13232183,-0.16031267,-0.10761357,0.08573492,0.3199833,1.2353027,0.20899281,-0.53561467,0.21058375,-0.106338486,-0.14928716,0.42455357,0.41057375,0.031566262,0.23315617,-0.020622652,0.29251453,-0.20525086,0.17164768
22,digit,0.17538401,0.057467066,-0.0069811153,0.112443835,-0.23820929,0.03309374,-0.37670395,-0.36334687,-0.276947,-0.20553046,-0.34831443,-0.053759847,0.34151146,-0.09426893,-0.55381596,-0.29656878,0.36444205,0.38354802,0.25587523,0.11276658,0.32554212,-0.39277261,-0.13945206,-0.05357029,-0.12089214,-0.074077934,0.08913913,0.0061750747,-0.72185904,-0.28014007,-0.17947136,-0.14069287,-0.26888108,-0.22487643,0.35686904,0.5018305,1.1321353,0.03620532,-0.4067123,0.4986108,-0.12817265,-0.08536458,0.44255307,0.5213835,0.094567895,0.08571188,-0.046187423,0.4047543,-0.19744681,0.20890121
23,digit,0.13263485,-0.23095535,0.009663437,0.06856987,-0.28858277,-0.07727905,-0.531694,-0.36087003,-0.31941885,0.056665815,-0.26593953,0.061362926,0.3014852,0.15517901,-0.35188872,-0.14601883,0.3776078,0.4043821,0.3532421,0.083853036,0.11155693,-0.40005636,-0.111490756,-0.286481,0.23564646,-0.2595236,0.039534464,0.20385182,-0.5356286,-0.2409225,-0.44393602,-0.11140514,-0.4059071,-0.13690983,0.43665007,0.5279244,1.1244551,-0.07942403,-0.39872915,0.24398017,-0.092759944,0.0012519608,0.56142867,0.490054,0.01164153,-0.020650383,-0.16712536,0.4211332,-0.21044798,0.18739395
24,digit,0.11136279,-0.15860458,0.024758559,0.12054732,-0.2507895,-0.113639675,-0.52308714,-0.29150733,-0.143854,-0.26438156,-0.0580846,-0.054258823,0.3181228,0.045508,-0.42141932,-0.27528864,0.25797737,0.20618203,0.19351254,0.094515525,0.07058446,-0.50933695,-0.16365352,0.0041337507,0.24341244,-0.1840087,0.014650476,0.25315762,-0.45863038,-0.3023083,-0.47839147,-0.17598261,-0.25611824,-0.11069344,0.25769246,0.5136204,1.1759741,0.09555214,-0.43957645,0.20315297,-0.15010162,0.017528156,0.6427489,0.2937665,0.008361372,0.13504246,0.09900283,0.44446266,-0.3135608,0.18519846
25,punct,-0.030836752,0.03401873,-0.015436548,0.0012303647,0.0007359883,-0.0018613342,-0.01660049,0.014663368,-0.023006057,0.020200623,0.0022179433,-0.0024271843,0.0073192427,-0.005056009,0.026064089,0.01449247,-0.00758725,0.011900965,-0.0060779904,-0.0051320605,0.01134968,0.012208311,0.029694397,0.014933369,0.032424115,-0.024632832,-0.05096454,0.05551197,-0.012555762,-0.04891169,-0.009053132,-0.0078078234,-0.02140994,-0.01689589,0.008036645,0.02074556,0.0007277368,-0.0060423873,-0.00477532,-0.025712382,-0.014261267,0.03057562,-0.022677088,0.0179056,-0.017113473,0.016269658,-0.01939134,-0.019175334,-0.0060031526,0.012474431
26,punct,0.02760452,-0.009733925,-0.02270436,-0.020390965,0.011875842,0.0010713317,0.005897671,-0.0013145038,-0.010416094,-0.010780047,-0.006151309,0.016334176,-0.018890526,0.028873406,0.00218812,0.037537213,-0.014349099,0.020466467,0.019745534,0.0044073174,-0.043160766,-0.0034828826,-0.0140785035,-0.010027101,-0.052221462,0.012131316,-0.019277459,-0.02305891,0.004382364,-0.041896503,-0.01933875,-0.01685667,0.007286071,-0.017095646,-0.01769499,-0.017114976,0.0033783638,0.040252637,0.03647571,-0.01184965,0.0020652306,-0.0057874876,-0.014732366,-0.026389334,-0.030383298,0.00801869,0.017319925,0.0075319814,0.012161418,0.028822698
27,punct,-8.362995e-05,0.0019732157,0.0015005016,0.006076443,0.005443976,-0.014769974,-0.016813068,-0.012639272,0.00976392,0.014452376,0.0008111368,-0.023099333,-0.004699453,-0.0048251753,0.022415113,0.005288851,0.050020646,-0.0024038316,-0.043548644,0.012541023,0.010407552,0.035781004,0.008924848,-0.03662082,-0.009209052,0.0163369,0.014378161,-0.0042948327,-0.035474844,-0.0015571251,0.054917987,-0.030246675,0.0066854027,0.012423184,-0.007510233,-0.019244874,-0.008345137,0.019481977,-0.013754821,-0.013467684,0.02178895,-0.012798873,0.009332163,0.03553272,0.00577174,0.013129647,0.00064455235,-0.000102674654,0.019482864,-0.012938268
28,punct,0.0029412897,-0.026468689,0.007578718,-0.0072494885,-0.022286952,-0.006501196,-0.032054424,0.033380628,0.023188956,-0.04097744,0.02849063,-0.033144716,-0.01503202,0.011642018,0.016670112,-0.019852532,-0.015988344,0.028068043,-0.0099090785,-0.022686912,-0.015273321,0.025998639,-0.007721653,-0.007417518,-0.018272907,-0.0038796936,-0.022694426,-0.0080350675,-0.0011443156,-0.01420338,-0.008919526,0.034134466,0.01942433,-0.03603688,0.0016641379,0.008641699,0.010453262,-0.009479976,-0.001835258,0.004147415,-0.04402216,-0.035648044,-0.00576613,-0.03934985,-0.0040025827,-0.009534244,-0.038522027,-0.005242821,0.02296965,0.011811359
29,punct,-0.46509716,0.110738225,-0.15090379,0.10582989,-0.24424079,-0.19307467,0.06316775,-0.4900769,0.7052144,0.31654626,-0.6622283,0.26865956,0.080129616,0.27692607,-0.061166693,0.008134395,0.0637802,0.49072036,0.055014834,0.10099584,0.19218783,0.12767802,-0.13925926,0.075738475,-0.05012934,0.0461061,-0.09986442,0.084373534,-0.063671514,-0.5377923,-0.05287077,0.08162272,-0.21762082,-0.11036417,0.1872174,0.27510613,-0.026627537,-0.09371165,0.22034928,0.19693153,-0.12268779,-0.0055476516,-0.8514804,0.56969213,-0.21656238,-0.52391,-0.004680136,-0.016266083,0.5469943,0.28037506
